3.546102 0.044009 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 36865, win 501, options [nop,nop,TS val 3014791951 ecr 1083236360], length 0
3.646092 0.043976 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 37889, win 501, options [nop,nop,TS val 3014792051 ecr 1083236460], length 0
3.746092 0.043999 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 38913, win 501, options [nop,nop,TS val 3014792151 ecr 1083236560], length 0
3.846096 0.043960 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 39937, win 501, options [nop,nop,TS val 3014792251 ecr 1083236660], length 0
3.946095 0.043982 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 40961, win 501, options [nop,nop,TS val 3014792351 ecr 1083236760], length 0
4.046039 0.043892 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 41985, win 501, options [nop,nop,TS val 3014792451 ecr 1083236860], length 0
4.146098 0.043954 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 43009, win 501, options [nop,nop,TS val 3014792551 ecr 1083236960], length 0
4.246094 0.043963 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 44033, win 501, options [nop,nop,TS val 3014792651 ecr 1083237060], length 0
4.346160 0.043993 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 45057, win 501, options [nop,nop,TS val 3014792751 ecr 1083237160], length 0
4.446094 0.043927 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 46081, win 501, options [nop,nop,TS val 3014792851 ecr 1083237260], length 0
4.546092 0.043896 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 47105, win 501, options [nop,nop,TS val 3014792951 ecr 1083237360], length 0
4.646091 0.043912 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 48129, win 501, options [nop,nop,TS val 3014793051 ecr 1083237460], length 0
4.746037 0.043816 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 49153, win 501, options [nop,nop,TS val 3014793151 ecr 1083237560], length 0
4.846077 0.043880 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 50177, win 501, options [nop,nop,TS val 3014793251 ecr 1083237660], length 0
4.946035 0.043840 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 51201, win 501, options [nop,nop,TS val 3014793351 ecr 1083237760], length 0
5.046010 0.043775 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 52225, win 501, options [nop,nop,TS val 3014793451 ecr 1083237860], length 0
5.146039 0.043816 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 53249, win 501, options [nop,nop,TS val 3014793551 ecr 1083237960], length 0
5.246036 0.043773 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 54273, win 501, options [nop,nop,TS val 3014793651 ecr 1083238060], length 0
5.346013 0.043763 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 55297, win 501, options [nop,nop,TS val 3014793751 ecr 1083238160], length 0
5.446037 0.043801 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 56321, win 501, options [nop,nop,TS val 3014793851 ecr 1083238260], length 0
5.546033 0.043757 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 57345, win 501, options [nop,nop,TS val 3014793951 ecr 1083238360], length 0
5.646043 0.043777 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 58369, win 501, options [nop,nop,TS val 3014794051 ecr 1083238460], length 0
5.746032 0.043731 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 59393, win 501, options [nop,nop,TS val 3014794151 ecr 1083238560], length 0
5.846036 0.043744 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 60417, win 501, options [nop,nop,TS val 3014794251 ecr 1083238660], length 0
5.946037 0.043756 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 61441, win 501, options [nop,nop,TS val 3014794351 ecr 1083238760], length 0
6.046036 0.043721 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 62465, win 501, options [nop,nop,TS val 3014794451 ecr 1083238860], length 0
6.146037 0.043732 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 63489, win 501, options [nop,nop,TS val 3014794551 ecr 1083238960], length 0
6.246033 0.043694 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 64513, win 501, options [nop,nop,TS val 3014794651 ecr 1083239060], length 0
6.346038 0.043710 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 65537, win 501, options [nop,nop,TS val 3014794751 ecr 1083239160], length 0
6.446035 0.043719 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 66561, win 501, options [nop,nop,TS val 3014794851 ecr 1083239260], length 0
6.546038 0.043675 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 67585, win 501, options [nop,nop,TS val 3014794951 ecr 1083239360], length 0
6.646042 0.043644 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 68609, win 501, options [nop,nop,TS val 3014795051 ecr 1083239461], length 0
6.746037 0.043656 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 69633, win 501, options [nop,nop,TS val 3014795151 ecr 1083239561], length 0
6.846037 0.043667 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 70657, win 501, options [nop,nop,TS val 3014795251 ecr 1083239661], length 0
6.946034 0.043624 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 71681, win 501, options [nop,nop,TS val 3014795351 ecr 1083239761], length 0
7.046043 0.043647 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 72705, win 501, options [nop,nop,TS val 3014795451 ecr 1083239861], length 0
7.146033 0.043599 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 73729, win 501, options [nop,nop,TS val 3014795551 ecr 1083239961], length 0
7.246035 0.043612 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 74753, win 501, options [nop,nop,TS val 3014795651 ecr 1083240061], length 0
7.346035 0.043573 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 75777, win 501, options [nop,nop,TS val 3014795751 ecr 1083240161], length 0
7.446034 0.043581 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 76801, win 501, options [nop,nop,TS val 3014795851 ecr 1083240261], length 0
7.546037 0.043601 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 77825, win 501, options [nop,nop,TS val 3014795951 ecr 1083240361], length 0
7.646018 0.043545 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 78849, win 501, options [nop,nop,TS val 3014796051 ecr 1083240461], length 0
7.746040 0.043576 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 79873, win 501, options [nop,nop,TS val 3014796151 ecr 1083240561], length 0
7.846043 0.043540 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 80897, win 501, options [nop,nop,TS val 3014796251 ecr 1083240661], length 0
7.946037 0.043549 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 81921, win 501, options [nop,nop,TS val 3014796351 ecr 1083240761], length 0
8.046036 0.043557 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 82945, win 501, options [nop,nop,TS val 3014796451 ecr 1083240861], length 0
8.146036 0.043519 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 83969, win 501, options [nop,nop,TS val 3014796551 ecr 1083240961], length 0
8.246037 0.043528 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 84993, win 501, options [nop,nop,TS val 3014796651 ecr 1083241061], length 0
8.346038 0.043548 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 86017, win 501, options [nop,nop,TS val 3014796751 ecr 1083241161], length 0
8.446030 0.043497 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 87041, win 501, options [nop,nop,TS val 3014796851 ecr 1083241261], length 0
8.546036 0.043516 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 88065, win 501, options [nop,nop,TS val 3014796951 ecr 1083241361], length 0
8.646037 0.043483 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 89089, win 501, options [nop,nop,TS val 3014797051 ecr 1083241461], length 0
8.746038 0.043493 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 90113, win 501, options [nop,nop,TS val 3014797151 ecr 1083241561], length 0
8.846038 0.043504 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 91137, win 501, options [nop,nop,TS val 3014797251 ecr 1083241661], length 0
8.946033 0.043453 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 92161, win 501, options [nop,nop,TS val 3014797351 ecr 1083241761], length 0
9.046034 0.043474 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 93185, win 501, options [nop,nop,TS val 3014797451 ecr 1083241861], length 0
9.146039 0.043440 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 94209, win 501, options [nop,nop,TS val 3014797551 ecr 1083241961], length 0
9.246037 0.043452 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 95233, win 501, options [nop,nop,TS val 3014797651 ecr 1083242061], length 0
9.346041 0.043467 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 96257, win 501, options [nop,nop,TS val 3014797751 ecr 1083242161], length 0
9.446033 0.043423 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 97281, win 501, options [nop,nop,TS val 3014797851 ecr 1083242261], length 0
9.546034 0.043432 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 98305, win 501, options [nop,nop,TS val 3014797951 ecr 1083242361], length 0
9.646037 0.043451 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 99329, win 501, options [nop,nop,TS val 3014798051 ecr 1083242461], length 0
9.746036 0.043408 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 100353, win 501, options [nop,nop,TS val 3014798151 ecr 1083242561], length 0
9.846033 0.043420 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 101377, win 501, options [nop,nop,TS val 3014798251 ecr 1083242661], length 0
9.946038 0.043379 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 102401, win 501, options [nop,nop,TS val 3014798351 ecr 1083242761], length 0
10.046035 0.043395 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 103425, win 501, options [nop,nop,TS val 3014798451 ecr 1083242861], length 0
10.146007 0.043379 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 104449, win 501, options [nop,nop,TS val 3014798551 ecr 1083242961], length 0
10.246035 0.043369 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 105473, win 501, options [nop,nop,TS val 3014798651 ecr 1083243061], length 0
10.346037 0.043375 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 106497, win 501, options [nop,nop,TS val 3014798751 ecr 1083243161], length 0
10.446034 0.043392 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 107521, win 501, options [nop,nop,TS val 3014798851 ecr 1083243261], length 0
10.546037 0.043355 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 108545, win 501, options [nop,nop,TS val 3014798951 ecr 1083243361], length 0
10.646028 0.043357 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 109569, win 501, options [nop,nop,TS val 3014799051 ecr 1083243461], length 0
10.746036 0.043328 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 110593, win 501, options [nop,nop,TS val 3014799151 ecr 1083243561], length 0
10.846039 0.043340 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 111617, win 501, options [nop,nop,TS val 3014799251 ecr 1083243661], length 0
10.946042 0.043359 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 112641, win 501, options [nop,nop,TS val 3014799351 ecr 1083243761], length 0
11.046036 0.043313 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 113665, win 501, options [nop,nop,TS val 3014799451 ecr 1083243861], length 0
11.146007 0.043297 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 114689, win 501, options [nop,nop,TS val 3014799551 ecr 1083243961], length 0
11.246037 0.043286 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 115713, win 501, options [nop,nop,TS val 3014799651 ecr 1083244061], length 0
11.346039 0.043302 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 116737, win 501, options [nop,nop,TS val 3014799751 ecr 1083244161], length 0
11.446037 0.043312 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 117761, win 501, options [nop,nop,TS val 3014799851 ecr 1083244261], length 0
11.546037 0.043274 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 118785, win 501, options [nop,nop,TS val 3014799951 ecr 1083244361], length 0
11.646034 0.043275 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 119809, win 501, options [nop,nop,TS val 3014800051 ecr 1083244461], length 0
11.746033 0.043292 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 120833, win 501, options [nop,nop,TS val 3014800151 ecr 1083244561], length 0
11.846038 0.043260 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 121857, win 501, options [nop,nop,TS val 3014800251 ecr 1083244661], length 0
11.946039 0.043269 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 122881, win 501, options [nop,nop,TS val 3014800351 ecr 1083244761], length 0
12.046038 0.043230 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 123905, win 501, options [nop,nop,TS val 3014800451 ecr 1083244861], length 0
12.146033 0.043238 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 124929, win 501, options [nop,nop,TS val 3014800551 ecr 1083244961], length 0
12.246037 0.043259 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 125953, win 501, options [nop,nop,TS val 3014800651 ecr 1083245061], length 0
12.346039 0.043219 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 126977, win 501, options [nop,nop,TS val 3014800751 ecr 1083245161], length 0
12.446042 0.043236 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 128001, win 501, options [nop,nop,TS val 3014800851 ecr 1083245261], length 0
12.546036 0.043193 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 129025, win 501, options [nop,nop,TS val 3014800951 ecr 1083245361], length 0
12.646037 0.043152 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 130049, win 501, options [nop,nop,TS val 3014801051 ecr 1083245461], length 0
12.746039 0.043165 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 131073, win 501, options [nop,nop,TS val 3014801151 ecr 1083245561], length 0
12.846041 0.043180 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 132097, win 501, options [nop,nop,TS val 3014801251 ecr 1083245661], length 0
12.946038 0.043143 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 133121, win 501, options [nop,nop,TS val 3014801351 ecr 1083245761], length 0
13.046036 0.043152 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 134145, win 501, options [nop,nop,TS val 3014801451 ecr 1083245861], length 0
13.146038 0.043111 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 135169, win 501, options [nop,nop,TS val 3014801551 ecr 1083245961], length 0
13.246039 0.043125 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 136193, win 501, options [nop,nop,TS val 3014801651 ecr 1083246061], length 0
13.346044 0.043092 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 137217, win 501, options [nop,nop,TS val 3014801751 ecr 1083246161], length 0
13.446038 0.043103 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 138241, win 501, options [nop,nop,TS val 3014801851 ecr 1083246261], length 0
13.546037 0.043061 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 139265, win 501, options [nop,nop,TS val 3014801951 ecr 1083246361], length 0
13.646093 0.043044 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 140289, win 501, options [nop,nop,TS val 3014802051 ecr 1083246461], length 0
13.746038 0.042988 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 141313, win 501, options [nop,nop,TS val 3014802151 ecr 1083246561], length 0
13.846035 0.042995 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 142337, win 501, options [nop,nop,TS val 3014802251 ecr 1083246661], length 0
13.946037 0.042959 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 143361, win 501, options [nop,nop,TS val 3014802351 ecr 1083246761], length 0
14.046038 0.042970 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 144385, win 501, options [nop,nop,TS val 3014802451 ecr 1083246861], length 0
14.146008 0.042902 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 145409, win 501, options [nop,nop,TS val 3014802551 ecr 1083246961], length 0
14.246039 0.042944 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 146433, win 501, options [nop,nop,TS val 3014802651 ecr 1083247061], length 0
14.346037 0.042905 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 147457, win 501, options [nop,nop,TS val 3014802751 ecr 1083247161], length 0
14.446035 0.042917 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 148481, win 501, options [nop,nop,TS val 3014802851 ecr 1083247261], length 0
14.546035 0.042925 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 149505, win 501, options [nop,nop,TS val 3014802951 ecr 1083247361], length 0
