colors% ./client -b 1k hspc02-exp0                 ~/app/c/socket/tcp-server-client/client
2025-10-16 10:16:43.943621 after  read() quickack_state: 1
2025-10-16 10:16:43.943640 before read() quickack_state: 1
2025-10-16 10:16:44.043653 after  read() quickack_state: 1
2025-10-16 10:16:44.043667 before read() quickack_state: 1
2025-10-16 10:16:44.143647 after  read() quickack_state: 1
2025-10-16 10:16:44.143666 before read() quickack_state: 1
2025-10-16 10:16:44.243689 after  read() quickack_state: 1
2025-10-16 10:16:44.243705 before read() quickack_state: 1
2025-10-16 10:16:44.343669 after  read() quickack_state: 1
2025-10-16 10:16:44.343687 before read() quickack_state: 1
2025-10-16 10:16:44.443721 after  read() quickack_state: 1
2025-10-16 10:16:44.443739 before read() quickack_state: 1
2025-10-16 10:16:44.543702 after  read() quickack_state: 1
2025-10-16 10:16:44.543722 before read() quickack_state: 1
2025-10-16 10:16:44.643761 after  read() quickack_state: 1
2025-10-16 10:16:44.643780 before read() quickack_state: 1
2025-10-16 10:16:44.743725 after  read() quickack_state: 1
2025-10-16 10:16:44.743744 before read() quickack_state: 1
2025-10-16 10:16:44.843770 after  read() quickack_state: 1
2025-10-16 10:16:44.843791 before read() quickack_state: 1
2025-10-16 10:16:44.943765 after  read() quickack_state: 1
2025-10-16 10:16:44.943777 before read() quickack_state: 1
2025-10-16 10:16:45.043759 after  read() quickack_state: 1
2025-10-16 10:16:45.043772 before read() quickack_state: 1
2025-10-16 10:16:45.143779 after  read() quickack_state: 1
2025-10-16 10:16:45.143797 before read() quickack_state: 1
2025-10-16 10:16:45.243773 after  read() quickack_state: 1
2025-10-16 10:16:45.243792 before read() quickack_state: 1
2025-10-16 10:16:45.343817 after  read() quickack_state: 1
2025-10-16 10:16:45.343832 before read() quickack_state: 1
2025-10-16 10:16:45.443803 after  read() quickack_state: 1
2025-10-16 10:16:45.443822 before read() quickack_state: 1
2025-10-16 10:16:45.543836 after  read() quickack_state: 1
2025-10-16 10:16:45.543867 before read() quickack_state: 1
2025-10-16 10:16:45.643833 after  read() quickack_state: 1
2025-10-16 10:16:45.643865 before read() quickack_state: 1
2025-10-16 10:16:45.743816 after  read() quickack_state: 1
2025-10-16 10:16:45.743830 before read() quickack_state: 1
2025-10-16 10:16:45.843871 after  read() quickack_state: 1
2025-10-16 10:16:45.843889 before read() quickack_state: 1
2025-10-16 10:16:45.943844 after  read() quickack_state: 1
2025-10-16 10:16:45.943877 before read() quickack_state: 1
2025-10-16 10:16:46.043932 after  read() quickack_state: 1
2025-10-16 10:16:46.043951 before read() quickack_state: 1
2025-10-16 10:16:46.143915 after  read() quickack_state: 1
2025-10-16 10:16:46.143933 before read() quickack_state: 1
2025-10-16 10:16:46.243965 after  read() quickack_state: 1
2025-10-16 10:16:46.243983 before read() quickack_state: 1
2025-10-16 10:16:46.343958 after  read() quickack_state: 1
2025-10-16 10:16:46.343978 before read() quickack_state: 1
2025-10-16 10:16:46.443967 after  read() quickack_state: 1
2025-10-16 10:16:46.443985 before read() quickack_state: 1
2025-10-16 10:16:46.543923 after  read() quickack_state: 1
2025-10-16 10:16:46.543941 before read() quickack_state: 1
2025-10-16 10:16:46.643956 after  read() quickack_state: 1
2025-10-16 10:16:46.643976 before read() quickack_state: 1
2025-10-16 10:16:46.743970 after  read() quickack_state: 1
2025-10-16 10:16:46.743984 before read() quickack_state: 1
2025-10-16 10:16:46.843943 after  read() quickack_state: 1
2025-10-16 10:16:46.843961 before read() quickack_state: 1
2025-10-16 10:16:46.943964 after  read() quickack_state: 1
2025-10-16 10:16:46.943982 before read() quickack_state: 1
2025-10-16 10:16:47.044032 after  read() quickack_state: 1
2025-10-16 10:16:47.044050 before read() quickack_state: 1
2025-10-16 10:16:47.144057 after  read() quickack_state: 1
2025-10-16 10:16:47.144075 before read() quickack_state: 1
2025-10-16 10:16:47.243994 after  read() quickack_state: 1
2025-10-16 10:16:47.244013 before read() quickack_state: 1
2025-10-16 10:16:47.344030 after  read() quickack_state: 1
2025-10-16 10:16:47.344048 before read() quickack_state: 1
2025-10-16 10:16:47.443990 after  read() quickack_state: 1
2025-10-16 10:16:47.444008 before read() quickack_state: 1
2025-10-16 10:16:47.544058 after  read() quickack_state: 1
2025-10-16 10:16:47.544077 before read() quickack_state: 1
